[39, 73, 2, 66, 25, 89, 123, 22, 86, 15, 4, 143, 87, 136, 35]
[99, 148, 92, 126, 130, 104, 123, 67, 56, 120, 19, 53, 87, 46, 80]
[84, 43, 32, 66, 70, 149, 48, 82, 56, 60, 64, 68, 27, 16, 5]
[69, 103, 2, 21, 85, 134, 3, 22, 11, 75, 34, 128, 57, 121, 20]
[39, 73, 2, 66, 25, 89, 123, 22, 86, 15]
[4, 143, 87, 136, 35, 99, 148, 92, 126, 130]
[104, 123, 67, 56, 120, 19, 53, 87, 46, 80]
[84, 43, 32, 66, 70, 149, 48, 82, 56, 60]
[64, 68, 27, 16, 5, 69, 103, 2, 21, 85]
[134, 3, 22, 11, 75, 34, 128, 57, 121, 20]
[84, 133, 2, 96, 25, 59, 63, 22, 131, 30]
[39, 73, 2, 66, 25]
[89, 123, 22, 86, 15]
[4, 143, 87, 136, 35]
[99, 148, 92, 126, 130]
[104, 123, 67, 56, 120]
[19, 53, 87, 46, 80]
[84, 43, 32, 66, 70]
[149, 48, 82, 56, 60]
[64, 68, 27, 16, 5]
[69, 103, 2, 21, 85]
[134, 3, 22, 11, 75]
[34, 128, 57, 121, 20]
[39, 73]
[2, 66]
[25, 89]
[123, 22]
[86, 15]
[4, 143]
[87, 136]
[35, 99]
[148, 92]
[126, 130]
[104, 123]
[67, 56]
[120, 19]
[53, 87]
[46, 80]
[84, 43]
[32, 66]
[70, 149]
[48, 82]
[56, 60]
[64, 68]
[27, 16]
[5, 69]
[103, 2]
[21, 85]
[134, 3]
[22, 11]
[75, 34]
[128, 57]
[121, 20]
[84, 133]
[2, 96]
[25, 59]
[63, 22]
[131, 30]
[94, 98]
[72, 46]
[80, 114]
[118, 122]
[21, 10]
[74, 48]
[82, 11]
[30, 94]
[68, 102]
[31, 140]
[114, 118]
[122, 96]
[115, 134]
[33, 22]
[131, 45]
[49, 128]
[147, 61]
[140, 129]
[73, 77]
[81, 130]
[29, 18]
[7, 101]
[75, 34]
[23, 132]
[106, 110]
[129, 43]
[77, 36]
[70, 149]
[48, 112]
[86, 60]
[64, 98]
[147, 61]
[95, 54]
[43, 107]
[111, 10]
[104, 123]
[142, 116]
[60, 64]
[128, 132]
[61, 50]
[84, 133]
[47, 51]
[85, 44]
[33, 97]
[71, 75]
[34, 68]
[27, 136]
[5, 24]
[133, 77]
[81, 115]
[14, 3]
[142, 131]
[30, 124]
[53, 12]
[46, 80]
[114, 88]
[92, 141]
[85, 134]
[78, 37]
[56, 45]
[79, 83]
[117, 91]
[140, 129]
[28, 122]
[96, 40]
[119, 138]
[112, 86]
[60, 139]
[113, 117]
[16, 5]
[129, 103]
[2, 126]
[25, 134]
[3, 97]
[146, 135]
[34, 53]
[87, 61]
[95, 144]
[43, 32]
[141, 130]
[74, 78]
[37, 71]
[75, 49]
[8, 147]
[136, 35]
[24, 118]
[122, 21]
[130, 74]
[33, 97]
[101, 60]
[124, 23]
[42, 31]
[95, 24]
[58, 62]
[21, 40]
[29, 63]
[97, 26]
[135, 124]
[113, 132]
[106, 110]
[9, 148]
[92, 21]
[85, 119]
[18, 7]
[146, 15]
[109, 38]
[57, 121]
[20, 129]
[43, 122]
[141, 115]
[14, 48]
[52, 86]
[120, 94]
